id,original_title,release_year,popularity,budget,revenue,cast,genre,production_companies
168259,Furious 7,2015,9.335014,190000000,1506249360,Vin Diesel|Paul Walker|Jason Statham|Michelle Rodriguez|Dwayne Johnson,Action,Universal Pictures
168259,Furious 7,2015,9.335014,190000000,1506249360,Vin Diesel|Paul Walker|Jason Statham|Michelle Rodriguez|Dwayne Johnson,Action,Universal Pictures
168259,Furious 7,2015,9.335014,190000000,1506249360,Vin Diesel|Paul Walker|Jason Statham|Michelle Rodriguez|Dwayne Johnson,Action,Universal Pictures
168259,Furious 7,2015,9.335014,190000000,1506249360,Vin Diesel|Paul Walker|Jason Statham|Michelle Rodriguez|Dwayne Johnson,Crime,Universal Pictures
168259,Furious 7,2015,9.335014,190000000,1506249360,Vin Diesel|Paul Walker|Jason Statham|Michelle Rodriguez|Dwayne Johnson,Crime,Universal Pictures
168259,Furious 7,2015,9.335014,190000000,1506249360,Vin Diesel|Paul Walker|Jason Statham|Michelle Rodriguez|Dwayne Johnson,Crime,Universal Pictures
168259,Furious 7,2015,9.335014,190000000,1506249360,Vin Diesel|Paul Walker|Jason Statham|Michelle Rodriguez|Dwayne Johnson,Thriller,Universal Pictures
168259,Furious 7,2015,9.335014,190000000,1506249360,Vin Diesel|Paul Walker|Jason Statham|Michelle Rodriguez|Dwayne Johnson,Thriller,Universal Pictures
168259,Furious 7,2015,9.335014,190000000,1506249360,Vin Diesel|Paul Walker|Jason Statham|Michelle Rodriguez|Dwayne Johnson,Thriller,Universal Pictures
87101,Terminator Genisys,2015,8.654359,155000000,440603537,Arnold Schwarzenegger|Jason Clarke|Emilia Clarke|Jai Courtney|J.K. Simmons,Science Fiction,Paramount Pictures
87101,Terminator Genisys,2015,8.654359,155000000,440603537,Arnold Schwarzenegger|Jason Clarke|Emilia Clarke|Jai Courtney|J.K. Simmons,Science Fiction,Paramount Pictures
87101,Terminator Genisys,2015,8.654359,155000000,440603537,Arnold Schwarzenegger|Jason Clarke|Emilia Clarke|Jai Courtney|J.K. Simmons,Science Fiction,Paramount Pictures
87101,Terminator Genisys,2015,8.654359,155000000,440603537,Arnold Schwarzenegger|Jason Clarke|Emilia Clarke|Jai Courtney|J.K. Simmons,Science Fiction,Paramount Pictures
87101,Terminator Genisys,2015,8.654359,155000000,440603537,Arnold Schwarzenegger|Jason Clarke|Emilia Clarke|Jai Courtney|J.K. Simmons,Action,Paramount Pictures
